Результати обчислень виразу cot(x)/tan(x):
x (градуси) | Результат
------------------------
0,00         | Причина виключення: заборонене значення X для обрахунку значення котангенса.
10,00        | 32,1634
20,00        | 7,5486
30,00        | 3,0000
40,00        | 1,4203
50,00        | 0,7041
60,00        | 0,3333
70,00        | 0,1325
80,00        | 0,0311
90,00        | Причина виключення: заборонене значення X для обрахунку значення тангенса.
100,00       | 0,0311
110,00       | 0,1325
120,00       | 0,3333
130,00       | 0,7041
140,00       | 1,4203
150,00       | 3,0000
160,00       | 7,5486
170,00       | 32,1634
180,00       | Причина виключення: заборонене значення X для обрахунку значення котангенса.
190,00       | 32,1634
200,00       | 7,5486
210,00       | 3,0000
220,00       | 1,4203
230,00       | 0,7041
240,00       | 0,3333
250,00       | 0,1325
260,00       | 0,0311
270,00       | Причина виключення: заборонене значення X для обрахунку значення тангенса.
280,00       | 0,0311
290,00       | 0,1325
300,00       | 0,3333
310,00       | 0,7041
320,00       | 1,4203
330,00       | 3,0000
340,00       | 7,5486
350,00       | 32,1634
360,00       | Причина виключення: заборонене значення X для обрахунку значення котангенса.
